Name,Class,Role,Tier,Win %,Role %,Pick %,Ban %,KDA
Heimerdinger,Mage,MID,3,51.71,16.19,0.63,4.99,2.04
Heimerdinger,Mage,SUPPORT,3,51.63,63.25,2.40,4.99,2.05
Heimerdinger,Mage,TOP,4,49.59,12.60,0.51,4.91,1.68
Illaoi,Fighter,TOP,1,50.17,94.33,5.60,9.10,1.42
Irelia,Fighter,TOP,1,49.66,51.81,5.52,16.38,1.65
Irelia,Fighter,MID,2,49.97,46.70,5.13,16.38,1.85
Ivern,Support,JUNGLE,5,47.59,80.89,1.16,0.41,3.22
Ivern,Support,SUPPORT,5,43.51,10.88,0.15,0.35,2.31
Janna,Support,SUPPORT,2,50.95,97.01,3.50,0.96,3.12
Jarvan IV,Tank,JUNGLE,0,53.30,88.06,8.35,1.88,3.42
Jax,Fighter,TOP,0,51.62,88.63,11.05,25.09,1.73
Jayce,Fighter,,1,49.55,73.19,6.24,3.03,1.83
Jayce,Fighter,MID,2,52.09,24.80,2.25,3.03,2.24
Jhin,Marksman,ADC,0,51.65,93.73,17.45,3.76,3.02
Jinx,Tank,ADC,3,50.17,97.11,7.43,0.62,2.29
K'Sante,Tank,TOP,3,45.44,91.98,4.32,8.29,1.82
Kai'Sa,Marksman,ADC,0,50.42,95.61,17.84,3.15,2.47
Kalista,Marksman,ADC,5,47.85,84.41,2.36,0.60,2.22
Karma,Mage,SUPPORT,1,48.44,89.67,8.35,2.94,2.73
Karthus,Mage,MID,3,49.71,12.51,0.35,1.42,2.34
Karthus,Mage,ADC,4,52.96,24.35,0.79,1.42,2.28
Karthus,Mage,JUNGLE,4,49.61,54.17,1.60,1.42,
Kassadin,Assassin,MID,2,48.90,96.68,4.27,22.96,2.58
Katarina,Assassin,MID,2,49.66,94.90,6.50,8.03,2.38
Kayle,Fighter,TOP,2,51.47,84.69,3.23,0.77,1.85
Kayle,Fighter,MID,3,50.39,12.12,0.44,0.77,2.23
Kayn,Fighter,JUNGLE,0,49.90,97.09,8.69,6.21,2.4
Kennen,,MID,2,52.86,14.64,0.21,0.34,2.35
Kennen,Mage,TOP,4,48.94,79.68,1.21,0.38,1.94
Kha'Zix,Assassin,JUNGLE,2,49.79,96.52,4.29,1.65,2.5
Kindred,Marksman,JUNGLE,3,48.32,95.44,4.29,4.63,2.16
Kled,Fighter,TOP,2,52.73,90.09,2.42,1.27,2.36
Kog'Maw,Marksman,ADC,4,51.39,86.55,1.63,0.34,2.22
LeBlanc,Assassin,MID,3,46.99,89.80,3.09,3.79,2.81
Lee Sin,Fighter,JUNGLE,0,49.14,,12.66,4.92,2.72
Leona,Tank,SUPPORT,2,49.62,98.78,4.49,3.72,2.33
Lillia,Fighter,JUNGLE,3,51.54,86.96,2.80,1.38,2.87
Lillia,Fighter,TOP,4,50.62,10.13,0.36,1.43,2.02
Lissandra,Mage,MID,3,49.38,91.59,2.95,0.87,2.48
Lucian,Marksman,ADC,3,49.12,92.21,8.51,,2.26
Lulu,Support,SUPPORT,0,49.39,97.76,9.10,8.76,3.0
Lux,Mage,SUPPORT,0,50.42,74.70,14.10,,2.49
Lux,Mage,MID,1,51.99,22.69,4.42,11.54,3.02
Malphite,Tank,TOP,1,50.99,70.73,3.65,2.51,2.39
Malphite,Tank,MID,3,50.55,11.88,0.64,2.63,2.5
Malphite,Tank,SUPPORT,5,47.25,13.83,0.79,2.63,1.96
Malzahar,Mage,MID,3,49.89,89.83,3.13,3.35,2.28
Maokai,Tank,JUNGLE,0,52.96,74.75,8.65,30.35,2.92
Maokai,Tank,SUPPORT,2,52.46,22.24,2.42,30.35,2.2
Master Yi,Assassin,JUNGLE,1,49.06,91.46,6.64,15.43,2.03
Miss Fortune,Marksman,ADC,2,50.19,85.08,8.81,2.03,2.23
Miss Fortune,Marksman,SUPPORT,5,44.89,12.91,1.08,2.03,2.01
Mordekaiser,Fighter,TOP,0,51.79,73.51,6.39,13.07,1.92
Mordekaiser,Fighter,JUNGLE,4,50.45,20.29,1.90,13.07,2.31
Morgana,Mage,SUPPORT,0,50.58,91.10,7.11,26.40,2.48
Nami,Support,SUPPORT,0,50.22,99.59,8.99,2.98,3.14
Nasus,Fighter,,1,51.08,78.70,4.65,4.17,1.95
Nasus,Fighter,MID,3,51.60,13.73,0.46,4.17,2.34
Nautilus,Tank,SUPPORT,0,50.96,94.82,9.52,9.06,2.35
Neeko,Mage,MID,2,51.78,51.43,1.19,0.47,2.39
Neeko,Mage,TOP,4,50.71,12.00,0.20,0.51,2.0
Neeko,Mage,SUPPORT,5,49.26,29.63,0.63,0.51,1.97
Nidalee,Assassin,JUNGLE,3,47.65,89.05,3.93,1.69,2.82
Nilah,Marksman,ADC,4,53.24,95.80,2.47,4.04,2.19
Nocturne,Assassin,JUNGLE,2,52.02,91.53,3.37,1.99,2.58
Nunu,Tank,JUNGLE,2,50.02,91.77,4.72,1.70,2.73
Olaf,Fighter,TOP,1,,85.86,3.38,3.01,
Olaf,Fighter,JUNGLE,5,48.65,12.27,0.46,2.87,2.23
Orianna,Mage,MID,3,49.30,90.66,2.11,0.16,2.75
Ornn,Tank,TOP,1,51.58,93.13,3.60,0.52,2.47
Pantheon,Fighter,MID,2,52.10,30.43,2.24,1.96,2.37
Pantheon,Fighter,,2,50.73,35.03,2.41,1.96,2.08
Pantheon,Fighter,SUPPORT,4,50.71,24.96,1.89,1.96,1.98
Poppy,Tank,TOP,4,48.91,46.51,1.40,0.63,2.01
Poppy,Tank,JUNGLE,5,49.79,40.33,1.20,0.63,2.59
Pyke,Support,SUPPORT,1,49.52,95.27,7.87,12.81,2.19
Qiyana,,MID,3,48.26,80.96,2.43,0.76,2.09
Qiyana,Assassin,JUNGLE,5,41.71,12.17,0.29,0.76,2.1
Quinn,Marksman,MID,3,50.21,10.13,0.16,0.60,2.23
Quinn,Marksman,TOP,3,50.75,78.79,,0.60,1.87
Rakan,Support,SUPPORT,1,53.19,97.76,6.77,0.61,2.99
